recipeID,recipeName,recipeType,recipeMaterialId,recipeMaterial,recipeCount,recipePrepartion,recipeCooking,recipeDescription
1,Tepsi Güzeli: Pratik Boşnak Mantısı,HAMUR İŞİ TARİFLERİ,"['181', '41', '3', '185', '105', '127', '183', '176', '102', '24', '96', '102', '183']","['milföy yaprağı', 'kıyma', 'soğan', 'tuz', 'kimyon', 'karabiber', 'pul biber', 'sıvı yağ', 'tereyağı', 'yoğurt', 'sarımsak', 'tereyağı', 'pul biber']",6 kişilik,20 dakika,45 dakika,"Kıymayı bir kase içerisine alın. Soğanı üzerine rendeleyin ve tüm baharatları ekleyip yoğurun.Oda sıcaklığında bekleyip hafifçe yumuşamış dikdörtgen milföy hamurunu kesme tahtasına yerleştirin. 8 eşit kare parçaya kesin.1 çay kaşığı kadar kıymalı harçtan kare hamurların içerisine yerleştirin.Önce kare hamurun uçlarını birleştirerek kapatın. Ardından elde ettiğiniz mantıyı hafifçe yuvarlayarak şeklini düzeltin.Sıvı yağ ile yağladığınız yuvarlak bir tepsi içerisine hazırladığınız mantıları yerleştirin. 48 adet mantı elde edene dek katlama ve yuvarlama aşamalarını tekrar edin.Fırına vermeden önce bir fırçayla tereyağını mantıların üzerine sürün. 170 derece fansız fırında 40 dakika pişirin, ardından 180 dereceye çıkarıp fanlı fırında 10 dakika daha pişirin.Fırından çıkardıktan sonra 5-10 dakika kadar dinlendirin. Servis etmeden önce sarımsaklı yoğurt ve pul biberle eritilmiş tereyağlı sosunu üzerine gezdirin. Afiyetler olsun!"
2,Sofraların Favorisi Olacak: Melanzane,SEBZE TARİFLERİ,"['6', '176', '39', '3', '96', '1', '48', '127', '185', '123', '144', '187']","['patlıcan', 'sıvı yağ', 'zeytinyağı', 'soğan', 'sarımsak', 'domates', 'taze kekik', 'karabiber', 'tuz', 'toz şeker', 'sıcak su', 'rendelenmiş kaşar peyniri']",5 kişilik,15 dakika,40 dakika,"Patlıcanları güzelce yıkayıp alacalı doyun. Orta kalınlıkta yuvarlak şekilde dilimleyin. Bir kızartma tavasına ayçiçek yağını koyup kızdırın. Patlıcanları güzelce kızartıp bir kağıt havlu üzerine alın.Sosu hazırlamak için zeytinyağında soğanları kavurun. Rendelediğiniz sarımsakları da ekleyip biraz daha kavurmaya devam edin.Üzerine rendelediğiniz domatesleri ya da domates sosunu ekeyip pişirin. Sos kıvamına gelen domateslerin içine ince ince kıydığınız kekikleri ekleyin.Tuz, karabiber ve şekeri de ekleyip biraz daha pişirin ve bir blender yardımıyla sosunuzu pürüzsüz hale getirin.Bir borcama ya da fırın tepsisine domates sosundan bir kepçe koyup tepsinin tabanına güzelce yayın.Üzerine kızarttığınız patlıcanların bir kısmını dizin.Patlıcanların üzerine rendelenmiş kaşar peynirini yayın ve domates sosundan gezdirin. 
Bu şekilde malzemeleriniz bitene kadar her kat için aynı işlemi yapın.En üst kata domates sosu yaydıktan sonra rendelenmiş kaşar peyniri ekleyip önceden ısınmış 180 derece fırında yaklaşık 25 dakika pişirin.Yemeğinizi sıcak olarak servis edebilirsiniz. Afiyet olsun!"
3,Pek Bir Pratik: İrmikli Patates Köftesi,KÖFTE TARİFLERİ,"['60', '118', '144', '4', '9', '99', '8', '3', '185', '183', '127', '99', '9', '118', '176']","['köftelik bulgur', 'irmik', 'sıcak su', 'haşlanmış patates', 'yumurta', 'un', 'maydanoz', 'soğan', 'tuz', 'pul biber', 'karabiber', 'un', 'yumurta', 'irmik', 'sıvı yağ']",4 kişilik,20 dakika,15 dakika,"Bir kabın içerisine irmik ve bulguru alın.Üzerine sıcak su ilave edin ve üzerini kapatarak 15 dakika suyunu çekmesini bekleyin.Demlenen bulgur ve irmiğin üzerine yumurta, un, kıyılmış maydanoz, doğranmış soğan, ezilmiş patates, baharatlar ve tuzu ilave edin.Bu evrede tüm malzemelerin homojen karışması için güzelce yoğurun yada bir spatula yardımıyla karıştırın.Ardından yuvarlak yuvarlak, hafif kalın köfte şekli verin. Köftelerinizi buzdolabında 15-20 dakika dinlendirin.Dinlenen köftelerinizi önce una bulayın.Sonrasında, çırpılmış olan yumurtaya bulayın.Ardından irmiğe bulayın. Her tarafının kaplanmış olması önemli.Bir tavaya sıvıyağ ekleyin ve kızmasını bekleyin. Kızdıktan sonra köfteleri bu yağın içine dikkatlice ekleyin.Arkalı önlü, iki tarafı da altın rengi olana dek pişirin.Pişen köfteleri önce bir kağıt havlunun üzerine alıp yağını süzdürün sonrasında sunum tabağınıza yerleştirin.İrmikli patates köfteleri hazır. Dilediğiniz soslarla servis edebilirsiniz. Afiyet olsun!"
4,Dolu Dolu Lezzet: Etli Patates Bombası,ET TARİFLERİ,"['4', '9', '185', '127', '188', '176', '178', '1', '195', '185', '127', '8', '3', '144', '185', '8']","['rendelenmiş patates', 'yumurta', 'tuz', 'karabiber', 'rendelenmiş parmesan peyniri', 'sıvı yağ', 'dana kuşbaşı eti', 'domates', 'toz kırmızı biber', 'tuz', 'karabiber', 'maydanoz', 'büyük kuru soğan', 'sumak', 'tuz', 'maydanoz']",3 adet,20 dakika,30 dakika,"Patatesleri rendeleyin ve iyice suyunu sıkıp başka bir kaba aktarın.Üzerine yumurta, tuz, karabiber ve rendelenmiş parmesan peynirini ekleyip karıştırın.Bir tavada sıvı yağını kızdırın. Üzerine küçük soğranmıış kuşbaşı etlerini ekleyin ve suyunu salıp çekene kadar pişirin.Küp doğranmış domates, tuz, karabiber ve toz kırmızı biberi de ekleyin ve domatesler piştikten sonra bir tutam doğranmış maydanozu da ekleyip ocaktan alın.Bir kaseyi streç film ile birkaç kat olacak şekilde streçleyin.Streç film kaplı kasenin içerisine rendelenmiş patates karışımında 2-3 kaşık ekleyin ve kasenin şeklini verin.Orta kısma pişirdiğiniz kuşbaşı etini 2 kaşık ekleyin ve streçfilm ile birlikte kaseden çıkarıp top şeklini verin.Bu şekilde buzlukta en az 20 dakika bekletin ve donduktan sonra 190 derece fırında 30 dakika kadar pişirin.Piyazlık doğradığınız soğanları tuz ve sumak ile ovup, maydanoz ile karıştırın ve fırından çıkan nefis patates bombalarının üzerine koyup sevdikleirnizle paylaşın."
5,Gerçeği Kadar Leziz: Yalancı Mantı,HAMUR İŞİ TARİFLERİ,"['97', '41', '3', '8', '127', '185', '176', '176', '1', '38', '144', '24', '96', '102', '195', '8']","['yufka', 'kıyma', 'kuru soğan', 'maydanoz', 'karabiber', 'tuz', 'sıvı yağ', 'sıvı yağ', 'domates salçası', 'kuru nane', 'sıcak su', 'yoğurt', 'sarımsak', 'tereyağı', 'toz kırmızı biber', 'kıyılmış maydanoz']",6 kişilik,25 dakika,50 dakika,"İç harcı için kıyma, rendelenmiş soğan, kıyılmış maydanoz, karabiber ve tuzu ekleyin.Bir adet yufkayı yarıya kesin. Yanlarından içe doğru katlayalım. İç harcınızı şerit şeklinde yerleştirin.Rulo şeklinde sarın ve kalıbınızın derinliğine göre kesin.Fırın kabını yağlayın ve ruloları dik bir şekilde dizin.Üzerlerini de fırçayla sıvı yağ ile yağlayın. Önceden ısıtılmış 180 derecelik fırında 35 dakika pişirin.Sosu için tencereye salça, su, sıvı yağ ve naneyi koyup 5 dakika kıvam alana kadar pişirin.Fırından çıkan mantıların üzerine sosu gezdirin. 15 dakika daha fırına verin.Üzerine yoğurt sos gezdirin. Sos tenceresinde tereyağı ve toz kırmızı biberi yakın ve yoğurt sosun üzerine gezdirip maydanoz serpiştirin. Afiyet olsun!"
6,Hamuru da Ev Yapımı: Ev Yapımı Lazanya,MAKARNA TARİFLERİ,"['99', '9', '9', '185', '39', '39', '41', '3', '43', '153', '96', '189', '1', '1', '185', '127', '104', '144', '39', '102', '99', '23', '185', '79', '193', '186', '186', '193']","['un', 'büyük boy yumurta', 'yumurta', 'tuz', 'zeytinyağı', 'zeytinyağı', 'dana kıyma', 'kuru soğan', 'havuç', 'kereviz sapı', 'sarımsak', 'salça', 'cherry domates', 'domates püresi', 'tuz', 'karabiber', 'taze fesleğen', 'su', 'zeytinyağı', 'tereyağı', 'un', 'süt', 'tuz', 'muskat cevizi rendesi', 'toz parmesan', 'rendelenmiş mozarella peyniri', 'rendelenmiş mozarella peyniri', 'toz parmesan']",4 kişilik,25 dakika,40 dakika,"Hamuru hazırlamak için bir kasede un, yumurta, yumurta sarısı, tuz ve zeytinyağını birleştirin. Elle veya hamur yoğurma makinesiyle tüm malzemeler birbiriyle özdeşleşene kadar yoğurun. Topaklanma olursa yumurta ekleyerek, fazla yumuşak bir hamur olursa un ilavesiyle toparlayabilirsiniz. Hazırladığınız hamuru streç film ile kaplayıp oda sıcaklığında 20 bekletin.Hazırladığınız hamuru kabınızın büyüklüğüne göre 4 veya 6 bezeye ayırıp unlayarak merdaneyle açın ve kalıbınızın büyüklüğüne göre kesip tüm hamurları aynı şekilde hazırlayın.Bolonez sos için, kıymayı tencerede zeytinyağıyla beraber kavurun. Üzerine soğanı ekleyip kavurmaya devam edin. Havuç, kereviz sapı ve sarımsakları da ekledikten sonra 2-3 dakika daha kavurmaya devam edin.Salça, cherry domates, domates püresi, tuz, karabiber, taze fesleğen ve suyunu da ekledikten sonra bir taşım kaynatın. Altını kısın, 15 dakika daha pişirin.Beşamel sos için; zeytinyağı ve tereyağını bir sos tenceresinde eritin. Üzerine unu ekleyip 1-2 dakika kavurun. Üzerine süt, tuz ve muskat cevizi rendesini ekleyip sürekli karıştırarak koyu kıvam alana dek pişirin.Hazırladığınız tüm malzemeleri birleştirmek için; kabının tabanına beşamel sostan yayın. Üzerine lazanya yaprağı, kıyma sosu, beşamel ve rende mozzarella serpiştirin. En son lazanya hamurunu koyana kadar aynı işlemleri uygulayın.Son katın üzerine sadece beşamel sos gezdirin, 185 derece ısıtılmış fırında orta rafa yerleştirin ve pişirmeye başlayın. 10. dakikasında üzerine mozzarella peynirini serpiştirip 15 dakika daha fırınlayın.Fırından çıkardıktan sonra 15-20 dakika oda sıcaklığında bekletin, ardından dilimleyerek servis edin. Afiyet olsun!"
7,Ekmek Banarak Yersin: Soslu Tavuk Sote,TAVUK TARİFLERİ,"['39', '68', '7', '194', '1', '96', '185', '127', '195', '192', '144', '109']","['zeytinyağı', 'tavuk göğsü', 'sivri biber', 'kapya biber', 'domates', 'sarımsak', 'tuz', 'karabiber', 'toz kırmızı biber', 'köri', 'su', 'nişasta']",3 kişilik,15 dakika,20 dakika,Tavukları küp küp doğrayın. Kızgın tavaya alın ve suyunu çekene kadar pişirin.Üzerine yağı ekleyin. Yemeklik doğranmış soğanı ve sarımsakları ekleyin ve kavurun. Biberleri ekleyip sotelemeye devam edin.Salçayı ilave edin.Tuz ve baharatları da ekleyin.Tavuklar pişmeye yakın 1 çay bardağı suyla açtığınız nişastayı ekleyin.5 dakika daha pişirip ocaktan alın.Afiyet olsun.
9,Muhacir Mutfağından: Mantarlı Karıştırma,SEBZE TARİFLERİ,"['76', '102', '39', '23', '99', '185', '102', '195']","['kültür mantarı', 'tereyağı', 'zeytinyağı', 'süt', 'un', 'tuz', 'tereyağı', 'toz kırmızı biber']",4 kişilik,10 dakika,10 dakika,Tavaya zeytinyağını alın. Mantarları ince ince doğrayın ve tavaya ilave edin. Mantarlar suyunu dalıp çekene kadar kavurun.Tereyağını ekleyip karıştırın.Unu da ekleyip kokusu çıkana kadar kavurun.Sütü ilave edin ve kıvam alana kadar karıştırın.Kıvam alınca ocaktan alın.Üzerine toz biberli yağ gezdirip servis edelim.Afiyet olsun.
10,Tutturma Garantili: Kakaolu Islak Kek,TATLI KEK TARİFLERİ,"['9', '123', '23', '34', '168', '12', '121', '99', '176', '23', '12', '123', '176', '185']","['yumurta', 'toz şeker', 'süt', 'ayçiçek yağı', 'vanilya', 'kakao', 'kabartma tozu', 'un', 'sıvı yağ', 'süt', 'kakao', 'toz şeker', 'sıvı yağ', 'tuz']",6 dilim,20 dakika,30 dakika,"Islak kek tarifi için derin bir kasede yumurta ve şekeri aktarın.Şeker eriyip, karışım krema kıvamına gelene kadar çırpın.Ardından içerisine sütü, sıvı yağı ilave edin.Vanilini de ekleyin. Koyup tekrar karıştırın.Topak kalmaması için kakao, kabartma tozu ve unu süzgeçten geçirin.Karışıma ekleyin.Son bir kez daha güzelce çırpın.Yağlanmış, ısıya dayanıklı bir kabın içerisine karışımı dökdükten sonra önceden ısıtılmış 180 derece fırında yaklaşık 30 dakika pişirin.Keki ıslatmak için bir sos tenceresinde süt, toz şekeri aktarın.Sıvı yağı da ilave edin.Kakao ve bir tutam tuzu karıştırıp bir taşım kaynatın.Kaynayınca ocaktan alın.Fırından çıkan sıcak kekin üzerine, hazırladığımız sıcak sosu dökün ve çekmesini bekleyin.Sosunu sünger gibi çeken iç kısmı yumuşacık ıslak keki dilimledikten sonra üzerine file badem serpiştirerek servis edin, sevdiklerinizle afiyetle tüketin."
12,10 Dakikada Hazır: Kısır,SALATA TARİFLERİ,"['60', '144', '1', '39', '185', '183', '94', '72', '3', '8', '38']","['ince bulgur', 'sıcak su', 'domates salçası', 'zeytinyağı', 'tuz', 'pul biber', 'limon suyu', 'nar ekşisi', 'taze soğan', 'maydanoz', 'taze nane']",6 kişilik,10 dakika,0 dakika,"2 su bardağı ince bulguru geniş bir kaseye alın. Üzerine 1,5 su bardağı sıcak suyu ekleyin.Streç film ile üzerini kapatıp bulgurların şişmesini bekleyin. Yaklaşık 10-15 dakika bulgurlar şiştikten sonra tane tane olması için güzelce karıştırın.Üzerine 2 yemek kaşığı domates salçası ve 1 çay bardağı zeytinyağını ekleyin.1 tatlı kaşığı tuz, 1 tatlı kaşığı pul biber, 2 limonun suyu ve yarım çay bardağı nar ekşisini de ekleyin.Son olarak doğradığınız 6 dal taze soğanı, yarım demet taze nane ve maydanozu da ekleyip karıştırdıktan sonra kısır servise hazır.Yanında marullarla ya da dilediğiniz malzemelerle servis edebilirsiniz. Afiyet olsun!"
13,Puf Puf: Mayalı Poğaça,POĞAÇA TARİFLERİ,"['144', '23', '100', '123', '176', '9', '185', '99', '9', '57']","['ılık su', 'ılık süt', 'kuru maya', 'toz şeker', 'sıvı yağ', 'yumurta', 'tuz', 'un', 'yumurta sarısı', 'susam']",20 adet,20 dakika,25 dakika,"1 su bardağı ılık su ve 1 su bardağı ılık sütü geniş bir karıştırma kabına alın. 2 paket kuru maya ve 4 yemek kaşığı toz şekeri ekleyip karıştırdıktan sonra mayanın aktive olması için 5 dakika kadar bekletin.Maya tamamen eridikten sonra 1 su bardağı sıvı yağ , 1 adet yumurta ve 2 çay kaşığı tuzu ekleyin.Unu azar azar ekleyip hamuru toparlanana kadar yoğurmaya başlayın.Yumuşak ve yapışmayacak bir kıvamda bir hamur elde ettiğiniz zaman üzerini streç film ve nemli bir bezle kapatıp 40-45 dakika kadar oda ısısında mayalanmaya bırakın.Mayalanan hamurdan yumurta büyüklüğünde parçalar kopartıp avuç içinizde yuvarlayarak şekil verin.Tepsiye aralıklı olarak dizdiğiniz mayalı hamurların üzerine yumurta sarısı sürün.Son mayalandırma işlemi için 10-15 dakika kadar poğaçaları tepside bekletin ve önceden ısıtılmış 190 derece fırında 20 dakika kadar pişirin. Puf puf kabarmış mayalı poğaçalar hazır, afiyet olsun!"
14,Tül Gibi İncecik Olur: Krep,KAHVALTILIK TARİFLERİ,"['9', '23', '144', '176', '99', '185']","['yumurta', 'süt', 'su', 'sıvı yağ', 'un', 'tuz']",4 kişilik,5 dakika,20 dakika,"Krep tarifi için öncelikle 1 su bardağı sütü bir kaba alın.Üzerine 1 su bardağı suyu derin bir karıştırma kasesine alın.1 yemek kaşığı sıvı yağ,  2 adet yumurta ve 1 çay kaşığı tuzu da ekleyin.Üzerine 6 yemek kaşığı unu ilave edip bir çırpıcı yardımıyla iyice karıştırın.Sonra pürüzsüz bir kıvam alana kadar çırpın ve 5 dakika dinlenmeye bırakın.Hazırladığınız krep harcından küçük bir kepçe kadar doldurun. Hamuru yağladığınız kızgın tavaya dökün.Hafifçe sallayarak hamurun ince bir şekilde tabanına yayılmasını sağlayın.Krepleri, orta ateşte göz göz olup, renk alana kadar arkalı önlü kızartın.Aralarda teflon tavayı yağlayarak, krep hamuru bitene kadar aynı işlemi tekrarlayın.Pişen krepleri servis tabağına alın. Soğutmadan sevdiklerinizle paylaşın."
15,En İyi Kıvam Onda: Mercimek Çorbası,ÇORBA TARİFLERİ,"['34', '3', '99', '43', '4', '185', '127', '74', '144', '176', '102', '196']","['ayçiçek yağı', 'kuru soğan', 'un', 'havuç', 'patates', 'tuz', 'karabiber', 'kırmızı ya da sarı mercimek', 'sıcak su', 'sıvı yağ', 'tereyağı', 'kırmızı toz biber']",6 kişilik,10 dakika,50 dakika,"Derin bir tencereye 3 yemek kaşığı sıvı yağ ekleyin. İri doğranmış 1 adet büyük soğanı sıvı yağ ile birlikte kavurun.Kavrulan soğanlara 1 yemek kaşığı unu ekleyin ve kokusu çıkıp, renk alana kadar kavurma işlemini sürdürün. İri parçalar halinde doğradığınız birer adet havuç ve patatesi tencereye aktarıp karıştırmaya devam edin.Tuz, karabiber ve bol suda yıkadıktan sonra suyunu süzdürdüğünüz 1,5 su bardağı mercimeği  de ilave edin ve son kez güzelce karıştırın.6 su bardağı sıcak suyu da tencereye ilave edin.Ardından kapağını kapatın, patates ve havuçlar yumuşayana kadar ara ara karıştırarak 40 dakika kadar pişirin.Çorba piştikten sonra pürüzsüz bir kıvam alması için; el blenderından geçirin. 5 dakika daha pişirdikten sonra ocaktan alın.3 yemek kaşığı sıvı yağ ve 2 yemek kaşığı tereyağını bir tavada kızdırın. Üzerine 1 tatlı kaşığı toz kırmızı biberi ekleyin ve 2 dakika yağı kızdırdıktan sonra ocaktan alın.Çorbayı bir kaseye alın ve üzerine kızdırdığınız yağdan gezdirip servis edin."
