id,ingredients
1,domates
2,salatalık
3,soğan
4,patates
5,kabak
6,patlıcan
7,sivri biber
8,maydanoz
9,yumurta
10,hurma
11,armut
12,kakao
13,lahana
14,krem şanti
15,Hindistan cevizi
16,marul
17,pirinç
18,nutella
19,kaymak
20,krema
21,kefir
22,labne
23,süt
24,yoğurt
25,kahve
26,acur
27,badem
28,ada çayı
29,ahtapot
30,balık
31,ananas
32,avokado
33,ayva
34,ayçiçek yağı
35,dereotu
36,enginar
37,karides
38,nane
39,zeytin
40,ıspanak
41,kıyma
42,buğday
43,havuç
44,turp
45,patlıcan
46,ekmek 
47,fındık
48,kekik
49,bal
50,balkabağı
51,bamya
52,barbunya
53,kinoa
54,sirke
55,bezelye
56,biftek
57,susam
58,brokoli
59,yulaf
60,bulgur
61,makarna
62,buz
63,böğürtlen
64,fasulye
65,levrek
66,kalamar
67,hindi
68,tavuk
69,ördek
70,ayva
71,elma
72,nar
73,portakal
74,mercimek
75,çipura
76,mantar
77,şeftali
78,cajun
79,ceviz
80,cheddar peyniri
81,mısır
82,ciğer
83,incik
84,roka
85,deniz tuzu
86,somon
87,hardal
88,greyfurt
89,muz
90,sucuk
91,dondurma
92,midye
93,mango
94,limon
95,çilek
96,sarımsak
97,yufka
98,ejder meyvesi
99,un
100,maya
101,erik
102,tereyağ
103,erişte
104,fesleğen
105,kimyon
106,karburga
107,fıstık
108,galeta
109,nişasta
110,hamsi
111,waffle
112,karnabahar
113,kestane
114,kinoa
115,lahana 
116,incir
117,pekmez
118,irmik
119,isot
120,istiridye
121,kabartma tozu
122,kadayıf
123,şeker
124,kaju
125,kakule
126,kapari
127,karabiber
128,karbonat
129,karpuz
130,turşu
131,kiraz
132,kivi
133,krema
134,kayısı
135,nohut
136,reyhan
137,üzüm
138,kuskus
139,soya
140,kıvırcık
141,leblebi
142,lavanta
143,limon
144,su
145,mahlep
146,mandalina
147,marshmallow
148,tarhana
149,haşhaş
150,çörekotu
151,nektar
152,kayısı
153,kereviz
154,kivi
155,pancar
156,pastırma
157,pazı
158,salam
159,salep
160,sardalya
161,soda
162,sumak
163,tarçın
164,kuşkonmaz
165,orman meyvesi
166,zencefil
167,turşu
168,vanilya
169,zerdeçal
170,çörek otu
171,haşhaş
172,ıhlamur
173,şalgam
174,şehriye
175,hindistan cevizi
176,sıvı yağ
177,tavuk
178,et
179,su
180,nişasta
181,milföy
182,yufka
183,pul biber
184,zeytinyağ
185,tuz
186,mozarella peynir
187,kaşar peynir
188,peynir
189,salça
190,vanilin
191,yenibahar
192,köri
193,parmesan
194,kapya biber
195, kırmızı biber
196,biber
197,margarin
198,karanfil
199,defne yaprağı
200,kişniş
201,mayonez
202,işkembe
